index,apartment_type,metro_station,minutes_to_metro,region,number_of_rooms,area,living_area,kitchen_area,floor,number_of_floors,renovation,price
18706,Secondary,Стрешнево,8,Moscow,5,187.49,70.2,26.4,26,5,European-style renovation,108753350.0
18707,Secondary,Улица Академика Янгеля,7,Moscow,1,39.28,26.6,17.9,13,9,Without renovation,17633870.0
18708,Secondary,Теплый Стан,6,Moscow,4,97.37,59.1,18.9,5,8,Without renovation,20337370.0
18709,Secondary,Технопарк,12,Moscow,4,90.08,48.1,21.0,1,51,Without renovation,31645750.0
18710,Secondary,Сетунь,5,Moscow,2,92.37,64.2,22.1,15,33,Without renovation,20136983.0
18711,Secondary,Минская,5,Moscow,5,255.68,147.5,30.8,1,10,European-style renovation,162093856.0
18712,Secondary,Улица Горчакова,4,Moscow,1,69.97,43.3,9.3,7,21,Designer,21162127.0
18713,Secondary,Баррикадная,3,Moscow,3,94.45,53.0,19.1,17,11,European-style renovation,45557055.0
18714,Secondary,Яхромская,7,Moscow,1,33.5,27.4,7.0,19,10,European-style renovation,13508896.0
18715,Secondary,Братиславская,12,Moscow,1,30.69,12.8,8.5,8,8,Without renovation,4939911.0
18716,Secondary,Алтуфьево,19,Moscow,2,36.07,24.2,10.1,2,19,Designer,11329439.0
18717,Secondary,Белорусская,19,Moscow,4,100.6,67.7,17.8,17,7,Designer,88569327.0
18718,New building,Новослободская,4,Moscow,3,106.9,41.5,19.4,4,16,Cosmetic,35411937.0
18719,Secondary,Тестовская,13,Moscow,2,70.29,49.5,17.3,3,21,European-style renovation,28021553.0
18720,Secondary,Аминьевская,18,Moscow,1,18.07,9.2,6.0,21,11,European-style renovation,12908191.0
18721,Secondary,Ломоносовский проспект,4,Moscow,6,145.89,88.3,26.4,1,30,European-style renovation,89062696.0
18722,Secondary,Красные ворота,8,Moscow,1,16.74,13.5,9.9,1,10,European-style renovation,6327390.0
18723,Secondary,Деловой центр,5,Moscow,4,89.72,60.0,10.2,19,5,European-style renovation,40648050.0
18724,Secondary,Дмитровская,6,Moscow,6,52.97,23.5,5.2,12,37,Designer,30439373.0
18725,New building,Кропоткинская,9,Moscow,1,148.32,94.2,23.2,5,16,European-style renovation,94160090.0
18726,Secondary,Тверская,8,Moscow,3,103.94,69.4,18.7,1,16,European-style renovation,50197072.0
18727,Secondary,Петровский Парк,5,Moscow,3,86.08,41.8,23.2,1,20,European-style renovation,47367819.0
18728,Secondary,Тверская,5,Moscow,4,156.6,103.7,20.3,2,23,European-style renovation,68394823.0
18729,New building,Братиславская,13,Moscow,2,36.88,12.5,11.2,9,14,Cosmetic,11244252.0
18730,New building,Котельники,12,Moscow region,3,95.0,40.7,13.2,14,9,Cosmetic,6838028.0
18731,Secondary,Долгопрудная,9,Moscow,1,20.14,10.6,20.3,9,17,Cosmetic,6931373.0
18732,New building,Дубровка,14,Moscow,4,320.23,50.4,32.3,3,10,Cosmetic,60722351.0
18733,New building,Спортивная,5,Moscow,4,109.77,58.5,15.9,3,14,European-style renovation,39926549.0
18734,Secondary,Бибирево,9,Moscow,5,165.41,76.2,29.6,2,6,European-style renovation,61745491.0
18735,Secondary,Электрозаводская,19,Moscow,0,20.89,13.1,8.5,1,16,Cosmetic,3106914.0
18736,Secondary,Красногвардейская,13,Moscow,2,46.63,27.9,8.8,5,22,Cosmetic,7285841.0
18737,Secondary,Жулебино,11,Moscow region,3,84.18,58.5,17.9,18,14,Without renovation,11751207.0
18738,Secondary,Красногвардейская,9,Moscow region,0,20.58,12.3,5.4,2,8,Without renovation,3573774.0
18739,Secondary,Шелепиха,12,Moscow,2,72.0,43.6,14.5,12,21,Cosmetic,23015802.0
18740,New building,Красногвардейская,13,Moscow region,1,50.19,22.4,8.2,2,14,Cosmetic,7298086.0
18741,New building,Красногвардейская,4,Moscow region,1,40.53,12.1,8.5,5,20,Cosmetic,4928488.0
18742,Secondary,Автозаводская,12,Moscow,6,35.4,13.1,18.4,12,27,Designer,19708004.0
18743,Secondary,Бунинская аллея,20,Moscow,1,17.84,10.0,8.8,11,9,Without renovation,6127577.0
18744,Secondary,Чкаловская,11,Moscow,4,86.16,52.1,18.8,7,36,European-style renovation,30003429.0
18745,Secondary,Аннино,12,Moscow,3,87.68,45.7,23.3,19,20,Cosmetic,19832275.0
18746,New building,Красногвардейская,12,Moscow region,3,71.65,41.7,18.0,11,10,Cosmetic,6724076.0
18747,Secondary,ЦСКА,19,Moscow,0,22.08,13.0,8.7,1,5,Cosmetic,7649793.0
18748,New building,Селигерская,5,Moscow,3,104.0,43.8,19.0,3,14,Cosmetic,10845347.0
18749,Secondary,Варшавская,13,Moscow,1,23.16,14.7,5.4,4,8,Without renovation,9568800.0
18750,Secondary,Улица Дмитриевского,5,Moscow,4,101.03,29.6,20.8,30,10,Designer,39762544.0
18751,Secondary,Третьяковская,19,Moscow,1,40.51,27.3,19.5,1,13,Without renovation,12368782.0
18752,Secondary,Курьяново,31,Moscow,5,175.22,78.2,26.9,4,14,European-style renovation,44169149.0
18753,Secondary,Опалиха,12,Moscow region,0,21.21,14.4,5.4,8,22,Cosmetic,6213770.0
18754,New building,Котельники,10,Moscow region,1,48.3,12.5,10.8,1,20,Cosmetic,4793331.0
18755,Secondary,Войковская,5,Moscow,4,110.38,55.1,22.2,30,42,European-style renovation,26268421.0
18756,Secondary,Пятницкое шоссе,16,Moscow,4,105.98,63.0,19.9,6,22,European-style renovation,37910248.0
18757,Secondary,Раменки,10,Moscow,1,98.72,13.8,10.1,9,14,Without renovation,37722618.0
18758,New building,Котельники,12,Moscow region,3,77.24,43.4,13.4,15,9,Cosmetic,9045497.0
18759,Secondary,Красногвардейская,5,Moscow region,0,21.3,13.6,8.3,7,9,Cosmetic,5274965.0
18760,Secondary,Спортивная,13,Moscow,2,56.39,30.7,11.0,7,21,Without renovation,52708137.0
18761,Secondary,Минская,19,Moscow,3,91.35,53.5,13.2,18,29,Designer,51161479.0
18762,Secondary,Ольховая,12,Moscow,0,32.08,24.2,5.8,6,10,European-style renovation,5255377.0
18763,Secondary,Беговая,5,Moscow,4,102.61,62.2,20.4,14,23,European-style renovation,51090597.0
18764,Secondary,Авиамоторная,19,Moscow,3,99.19,67.1,21.0,22,23,European-style renovation,24761663.0
18765,Secondary,Окская,12,Moscow,3,108.3,66.3,15.3,3,37,Designer,61296727.0
18766,Secondary,Коммунарка,13,Moscow,0,16.94,12.5,8.7,18,10,European-style renovation,4600715.0
18767,New building,Арбатская,5,Moscow,4,176.68,144.3,16.0,15,11,European-style renovation,82832418.0
18768,New building,Рязанский проспект,10,Moscow,4,110.74,53.6,22.5,41,9,Designer,34340079.0
18769,Secondary,Давыдково,13,Moscow,1,47.27,14.5,21.6,6,23,Designer,18787589.0
18770,Secondary,Борисово,19,Moscow,0,23.23,14.8,5.6,3,12,European-style renovation,5670339.0
18771,Secondary,ЗИЛ,19,Moscow,2,93.33,62.9,17.8,8,22,European-style renovation,42862561.0
18772,Secondary,Жулебино,9,Moscow region,1,21.73,12.9,8.3,17,17,Without renovation,3662740.0
18773,Secondary,Проспект Мира,11,Moscow,3,116.58,61.5,19.9,1,21,European-style renovation,27519885.0
18774,Secondary,Профсоюзная,18,Moscow,3,37.8,21.0,12.0,8,14,Designer,17049689.0
18775,Secondary,Тропарево,19,Moscow,4,112.85,70.1,18.4,2,9,European-style renovation,27812445.0
18776,New building,Котельники,4,Moscow region,1,37.36,10.7,4.3,20,20,Cosmetic,5303759.0
18777,Secondary,Зябликово,13,Moscow region,1,45.6,25.3,10.7,21,20,Cosmetic,8827413.0
18778,Secondary,Жулебино,5,Moscow region,4,82.03,43.3,18.8,8,14,Without renovation,18027618.0
18779,Secondary,Домодедовская,4,Moscow,3,23.59,9.4,8.4,2,8,Designer,14092348.0
18780,New building,Жулебино,8,Moscow region,2,34.73,13.3,8.2,15,14,Cosmetic,3147741.0
18781,Secondary,Улица Академика Янгеля,28,Moscow,4,119.66,69.5,16.1,9,24,Without renovation,39164941.0
18782,Secondary,Баррикадная,13,Moscow,2,34.16,13.7,10.4,1,10,Without renovation,16736467.0
18783,Secondary,Битца,10,Moscow region,3,119.89,73.8,11.3,8,23,European-style renovation,17451866.0
18784,Secondary,Автозаводская,2,Moscow,1,99.75,63.9,21.6,2,15,Cosmetic,48139027.0
18785,Secondary,Бунинская Аллея,7,Moscow,5,180.6,87.7,23.0,1,5,European-style renovation,65580282.0
18786,Secondary,Китай-город,6,Moscow,0,14.85,6.9,4.9,1,8,Without renovation,6609423.0
18787,Secondary,Свиблово,18,Moscow,2,81.69,58.8,21.2,8,22,Without renovation,20823358.0
18788,Secondary,Аминьевская,12,Moscow,1,50.17,32.2,8.8,7,21,Designer,15931306.0
18789,New building,Красногвардейская,6,Moscow region,2,38.79,18.7,16.1,10,20,Cosmetic,3963441.0
18790,Secondary,Рассказовка,12,Moscow,2,38.32,15.9,8.8,6,14,Cosmetic,12657758.0
18791,Secondary,Динамо,13,Moscow,3,83.64,61.9,18.9,16,16,European-style renovation,29423065.0
18792,New building,Коптево,13,Moscow,3,66.22,14.8,23.1,10,9,Cosmetic,18907777.0
18793,New building,Спортивная,19,Moscow,4,87.36,59.5,29.0,2,16,Cosmetic,29641155.0
18794,Secondary,Варшавская,8,Moscow,3,78.83,57.7,20.1,11,14,Without renovation,40740028.0
18795,Secondary,Алма-Атинская,12,Moscow region,0,29.61,20.6,8.8,1,10,European-style renovation,8050021.0
18796,Secondary,Аминьевская,19,Moscow,0,16.08,6.5,8.7,5,10,Designer,3680323.0
18797,New building,Братиславская,12,Moscow,1,35.71,10.0,7.5,15,14,Cosmetic,7948994.0
18798,Secondary,Медведково,6,Moscow,4,236.97,130.0,40.0,3,5,European-style renovation,98380165.0
18799,Secondary,Битца,14,Moscow region,3,67.5,24.5,9.6,21,22,European-style renovation,12662240.0
18800,New building,ЗИЛ,18,Moscow,2,29.54,16.3,5.0,15,14,Cosmetic,17748720.0
18801,Secondary,Улица 1905 года,13,Moscow,2,65.73,50.0,28.5,15,11,European-style renovation,50522765.0
18802,Secondary,Красногвардейская,5,Moscow,1,23.43,10.8,7.9,5,14,Designer,10976699.0
18803,New building,Панфиловская,7,Moscow,3,34.01,14.4,4.7,4,14,Cosmetic,19560802.0
18804,Secondary,Юго-Западная,13,Moscow,0,33.42,26.1,5.7,1,9,European-style renovation,5593993.0
18805,Secondary,Юго-Восточная,18,Moscow,2,54.89,27.7,19.8,19,22,European-style renovation,21430760.0
18806,Secondary,Беговая,8,Moscow,5,164.88,48.3,57.6,10,5,European-style renovation,142300840.0
18807,Secondary,Серпуховская,7,Moscow,6,184.51,59.8,27.0,4,6,European-style renovation,117172941.0
18808,Secondary,Коммунарка,16,Moscow,6,197.27,82.6,34.8,1,24,European-style renovation,50541469.0
18809,Secondary,Ломоносовский проспект,21,Moscow,4,92.45,67.3,14.1,1,21,Designer,28608291.0
18810,Secondary,Фонвизинская,9,Moscow,0,29.77,17.9,9.0,14,9,European-style renovation,5776216.0
18811,Secondary,Проспект Мира,5,Moscow,1,71.28,49.9,10.0,18,15,European-style renovation,27891445.0
18812,New building,Братиславская,12,Moscow,2,31.96,6.7,17.3,9,20,Cosmetic,8827134.0
18813,Secondary,Пенягино,11,Moscow region,1,46.24,28.2,4.6,18,24,Cosmetic,13005175.0
18814,Secondary,Жулебино,8,Moscow region,2,30.47,12.5,10.2,3,16,Without renovation,7590530.0
18815,Secondary,Ясенево,6,Moscow,1,42.14,12.7,8.5,5,16,Designer,9823062.0
18816,Secondary,Отрадное,19,Moscow,0,12.0,9.5,5.6,1,4,European-style renovation,1978147.0
18817,New building,Аэропорт,7,Moscow,4,95.2,43.8,7.3,21,9,Cosmetic,23484771.0
18818,Secondary,Борисово,6,Moscow,0,35.64,19.2,5.3,2,9,European-style renovation,8335613.0
18819,New building,Братиславская,11,Moscow,3,54.24,25.5,11.6,5,20,Cosmetic,7956810.0
18820,Secondary,Народное Ополчение,13,Moscow,0,23.06,16.3,7.6,4,9,Cosmetic,10928440.0
18821,Secondary,Депо,14,Moscow,1,26.91,14.2,9.9,1,41,Designer,14629551.0
18822,Secondary,Киевская,16,Moscow,1,34.42,25.0,8.1,7,33,Without renovation,25822720.0
18823,Secondary,Аникеевка,19,Moscow region,2,55.47,30.7,7.0,18,20,Cosmetic,14520847.0
18824,New building,Новопеределкино,12,Moscow,3,111.3,59.9,25.9,19,10,Cosmetic,14026460.0
18825,Secondary,Международная,9,Moscow,0,35.43,24.9,9.8,3,9,Without renovation,19402791.0
18826,Secondary,Пражская,13,Moscow,2,95.58,51.2,20.3,3,21,Without renovation,13959746.0
18827,Secondary,Солнцево,13,Moscow,3,106.84,66.3,19.1,14,21,European-style renovation,36534725.0
18828,New building,Зябликово,13,Moscow region,2,40.11,25.6,17.9,1,14,Cosmetic,9044306.0
18829,Secondary,Шаболовская,17,Moscow,2,45.32,10.7,7.8,2,10,Cosmetic,10052843.0
18830,Secondary,Бескудниково,13,Moscow,2,26.46,11.1,6.7,2,25,European-style renovation,6673332.0
18831,New building,Котельники,16,Moscow region,3,39.31,13.3,18.1,7,20,Cosmetic,6036422.0
18832,Secondary,Щелковская,13,Moscow,0,15.83,13.5,5.6,2,8,Without renovation,4514301.0
18833,Secondary,Сретенский бульвар,33,Moscow,1,32.05,25.4,5.4,3,20,European-style renovation,13613625.0
18834,Secondary,Люблино,13,Moscow,0,42.19,23.2,6.1,2,23,European-style renovation,11269212.0
18835,Secondary,Прокшино,8,Moscow,1,22.96,13.2,6.1,1,8,European-style renovation,10858372.0
18836,Secondary,Аминьевская,9,Moscow,1,21.54,12.4,10.1,1,4,European-style renovation,5829475.0
18837,Secondary,Тестовская,13,Moscow,3,53.49,24.1,12.6,6,21,Cosmetic,20150477.0
18838,Secondary,Улица 1905 года,5,Moscow,4,419.25,257.6,41.2,8,6,European-style renovation,479009533.0
18839,New building,Марьина Роща,9,Moscow,5,47.1,27.9,19.0,1,11,Cosmetic,18271751.0
18840,Secondary,Технопарк,13,Moscow,5,195.76,141.4,17.4,20,4,Designer,80997668.0
18841,Secondary,Битца,9,Moscow region,4,121.36,59.5,17.9,9,22,European-style renovation,13232355.0
18842,Secondary,Селигерская,13,Moscow,1,121.05,72.2,11.1,8,23,Cosmetic,41209434.0
18843,Secondary,Красногвардейская,13,Moscow region,0,22.66,12.7,4.8,1,10,European-style renovation,6435990.0
18844,Secondary,Солнцево,13,Moscow,2,33.24,13.7,8.3,6,22,Cosmetic,6036202.0
18845,Secondary,Трикотажная,18,Moscow,1,53.61,28.7,22.5,16,10,Without renovation,16125838.0
18846,Secondary,Варшавская,3,Moscow,0,21.13,12.3,6.4,7,6,Cosmetic,5050849.0
18847,New building,Братиславская,16,Moscow,0,24.55,13.5,4.7,4,20,Cosmetic,7101692.0
18848,Secondary,Преображенская площадь,25,Moscow,0,97.04,81.5,8.3,1,40,European-style renovation,35107740.0
18849,Secondary,Новохохловская,14,Moscow,2,43.83,33.8,7.7,16,23,Without renovation,7466991.0
18850,Secondary,Октябрьское поле,13,Moscow,3,93.8,59.7,11.5,24,16,Without renovation,26932550.0
18851,New building,Красногвардейская,13,Moscow region,1,27.91,10.4,8.7,2,14,Cosmetic,3902974.0
18852,Secondary,Сокол,11,Moscow,5,79.34,41.8,14.4,3,24,Designer,30041455.0
18853,New building,Красногвардейская,13,Moscow region,2,39.62,26.4,4.0,7,20,Cosmetic,7506980.0
18854,New building,Красногвардейская,13,Moscow region,1,29.99,19.3,3.7,9,20,Cosmetic,3053786.0
18855,New building,Красный Балтиец,22,Moscow,1,50.8,35.8,5.3,3,23,Cosmetic,13297977.0
18856,Secondary,Филатов Луг,4,Moscow,1,34.44,25.1,4.9,7,5,European-style renovation,12504671.0
18857,New building,Котельники,19,Moscow region,1,35.82,13.9,15.1,21,9,Cosmetic,4836784.0
18858,New building,Братиславская,13,Moscow,2,45.23,18.4,7.5,15,20,Cosmetic,13936404.0
18859,Secondary,Хорошёвская,7,Moscow,3,159.27,65.0,19.7,3,11,European-style renovation,42076940.0
18860,New building,Депо,12,Moscow,1,34.28,25.9,8.8,5,14,Cosmetic,7588751.0
18861,Secondary,Щелковская,4,Moscow,0,22.0,13.3,8.6,1,9,European-style renovation,6874210.0
18862,Secondary,Менделеевская,4,Moscow,3,64.82,32.5,5.1,4,23,Without renovation,20542067.0
18863,New building,Каширская,16,Moscow,3,70.65,38.7,15.1,5,41,Without renovation,16002905.0
18864,Secondary,Угрешская,15,Moscow,2,89.76,62.9,19.2,2,24,European-style renovation,45106256.0
18865,Secondary,Минская,12,Moscow,5,223.36,92.6,25.7,4,23,European-style renovation,107842059.0
18866,Secondary,Щукинская,9,Moscow,1,28.73,12.2,5.9,1,28,Without renovation,10782998.0
18867,Secondary,Спортивная,20,Moscow,1,54.39,32.1,20.2,16,14,Without renovation,33195184.0
18868,Secondary,Ломоносовский проспект,6,Moscow,5,227.55,97.6,20.4,2,22,European-style renovation,81534895.0
18869,New building,Спортивная,11,Moscow,3,101.63,44.8,15.7,6,10,Designer,91076084.0
18870,New building,Фрунзенская,13,Moscow,2,47.32,17.3,12.5,11,16,Cosmetic,24461338.0
18871,Secondary,Международная,4,Moscow,0,37.7,11.2,10.1,22,22,Designer,26135211.0
18872,Secondary,Минская,6,Moscow,6,128.03,89.4,19.6,3,40,European-style renovation,96386023.0
18873,New building,Битца,8,Moscow region,3,78.8,52.2,19.3,8,16,Without renovation,10058217.0
18874,Secondary,Народное Ополчение,7,Moscow,0,24.17,15.6,3.9,1,10,European-style renovation,10424552.0
18875,Secondary,Новодачная,16,Moscow,4,96.25,60.3,19.4,21,23,Designer,28371099.0
18876,New building,Красногвардейская,12,Moscow region,2,66.15,33.2,9.9,6,20,Cosmetic,6660676.0
18877,New building,Зябликово,4,Moscow region,3,43.27,25.5,10.0,18,8,Cosmetic,5812126.0
18878,Secondary,Бульвар Рокоссовского,4,Moscow,2,95.92,54.8,20.4,2,22,European-style renovation,19945017.0
18879,Secondary,Ботанический сад,10,Moscow,0,23.52,19.6,8.9,1,4,European-style renovation,5027325.0
18880,Secondary,Народное Ополчение,8,Moscow,1,22.46,14.7,8.9,2,32,Designer,12629854.0
18881,Secondary,Серпуховская,13,Moscow,2,84.24,36.0,18.4,6,16,European-style renovation,55981227.0
18882,Secondary,Депо,5,Moscow,0,20.86,17.9,8.6,8,6,European-style renovation,9909103.0
18883,Secondary,Красногвардейская,11,Moscow region,2,31.32,13.8,10.2,8,16,Cosmetic,4416663.0
18884,Secondary,Маяковская,19,Moscow,0,42.6,13.2,5.3,3,9,European-style renovation,10815937.0
18885,Secondary,Лужники,25,Moscow,1,34.77,20.9,3.8,2,20,Designer,30105469.0
18886,Secondary,Парк культуры,13,Moscow,1,72.32,55.8,8.8,1,19,Designer,49434884.0
18887,Secondary,Крылатское,8,Moscow,1,22.15,11.4,8.5,9,14,Without renovation,7534240.0
18888,Secondary,Сухаревская,12,Moscow,3,85.93,68.7,20.3,6,14,European-style renovation,45872031.0
18889,New building,Депо,19,Moscow,1,30.27,11.7,18.6,9,14,Cosmetic,3594830.0
18890,Secondary,ЗИЛ,6,Moscow,4,215.34,101.6,25.4,2,5,European-style renovation,152499997.0
18891,Secondary,Селигерская,14,Moscow,4,123.59,64.8,19.3,3,33,Designer,38961555.0
18892,Secondary,Юго-Западная,4,Moscow,1,41.09,14.8,16.4,2,11,European-style renovation,13570875.0
18893,Secondary,Алма-Атинская,13,Moscow region,3,93.89,59.3,19.8,18,9,European-style renovation,20194335.0
18894,Secondary,Коммунарка,9,Moscow,0,19.2,10.7,4.7,1,8,Designer,6395814.0
18895,New building,Нахимовский проспект,12,Moscow,3,87.36,36.7,26.9,4,14,Cosmetic,10059781.0
18896,Secondary,Бутырская,27,Moscow,3,89.05,69.0,10.6,34,14,Designer,43600116.0
18897,Secondary,Битца,12,Moscow region,3,51.21,22.7,13.2,9,15,Cosmetic,8062037.0
18898,Secondary,Марьина Роща,12,Moscow,0,21.51,11.9,5.3,1,8,European-style renovation,5154508.0
18899,New building,Зябликово,20,Moscow region,2,24.29,13.5,8.2,11,20,Cosmetic,2301332.0
18900,Secondary,Динамо,6,Moscow,3,24.68,14.0,21.2,1,8,Designer,12039176.0
18901,Secondary,Волоколамская,4,Moscow region,1,101.98,55.9,10.8,1,22,Cosmetic,19832978.0
18902,Secondary,Бибирево,18,Moscow,2,52.24,26.5,20.3,6,14,European-style renovation,20179019.0
18903,Secondary,Международная,8,Moscow,3,31.11,9.5,6.2,10,11,European-style renovation,10589727.0
18904,Secondary,Полежаевская,13,Moscow,1,46.18,29.7,6.3,8,21,Without renovation,21701183.0
18905,New building,Депо,13,Moscow,2,90.78,67.5,11.8,1,17,Cosmetic,13262289.0
18906,Secondary,Алексеевская,19,Moscow,1,45.28,29.4,10.3,10,42,Designer,23085397.0
18907,New building,Жулебино,12,Moscow region,2,22.51,9.8,18.9,13,20,Cosmetic,6231264.0
18908,New building,Котельники,12,Moscow region,3,63.9,30.3,11.9,7,16,Cosmetic,9114598.0
18909,Secondary,Красногвардейская,24,Moscow,4,103.51,84.0,10.4,7,22,Designer,31522417.0
18910,New building,Технопарк,12,Moscow,3,57.91,42.1,6.5,1,22,Cosmetic,9482520.0
18911,Secondary,Бабушкинская,6,Moscow,2,40.26,13.9,13.0,18,20,European-style renovation,15927388.0
18912,Secondary,Таганская,19,Moscow,0,32.6,24.8,8.8,1,34,Designer,15255413.0
18913,Secondary,Кропоткинская,19,Moscow,4,131.93,72.4,17.7,10,26,European-style renovation,92029898.0
18914,Secondary,Белорусская,19,Moscow,5,430.7,46.6,24.1,4,11,European-style renovation,180040190.0
18915,Secondary,Тверская,54,Moscow,5,231.22,121.4,24.1,1,6,European-style renovation,121412623.0
18916,Secondary,Тушинская,7,Moscow,3,120.8,67.4,19.5,20,23,Designer,54841449.0
18917,Secondary,Дмитровская,9,Moscow,1,70.28,60.0,8.5,22,38,Without renovation,38068006.0
18918,New building,Котельники,9,Moscow region,2,34.63,26.0,4.9,8,14,Cosmetic,6565539.0
18919,Secondary,Солнцево,6,Moscow,4,33.86,22.2,11.8,20,10,European-style renovation,10812822.0
18920,Secondary,Марьина Роща,26,Moscow,1,37.83,20.5,5.3,13,24,Cosmetic,13167335.0
18921,Secondary,Краснопресненская,15,Moscow,4,75.93,45.4,5.6,6,8,Designer,25498257.0
18922,Secondary,Бунинская Аллея,17,Moscow,0,33.87,15.2,6.1,7,10,Without renovation,10205103.0
18923,New building,Владыкино,12,Moscow,3,66.09,17.4,18.4,3,14,Cosmetic,7755968.0
18924,Secondary,Площадь Гагарина,13,Moscow,1,29.1,14.4,4.8,6,9,Without renovation,10573639.0
18925,Secondary,Ясенево,19,Moscow,3,30.33,19.5,10.4,7,20,Without renovation,8670243.0
18926,Secondary,Тульская,12,Moscow,5,98.12,46.5,21.7,4,6,European-style renovation,62761700.0
18927,Secondary,Марьина Роща,13,Moscow,1,98.0,68.7,27.3,1,21,Designer,66546479.0
18928,Secondary,Марк,4,Moscow,2,98.85,46.8,18.9,3,23,European-style renovation,25831838.0
18929,New building,Братиславская,12,Moscow,2,108.19,57.1,18.5,19,14,Cosmetic,22503650.0
18930,Secondary,Китай-город,18,Moscow,1,51.83,33.5,7.1,1,14,Without renovation,39591341.0
18931,New building,Битца,6,Moscow region,1,43.38,22.9,11.7,13,20,Cosmetic,5755735.0
18932,New building,Коломенская,9,Moscow,4,115.31,48.2,17.9,5,23,Cosmetic,20715690.0
18933,Secondary,Ботанический сад,12,Moscow,1,27.63,13.9,8.8,6,10,Designer,12859533.0
18934,Secondary,Красногвардейская,9,Moscow region,0,17.19,9.9,3.6,2,9,Cosmetic,2045653.0
18935,Secondary,Беломорская,13,Moscow,1,48.59,31.2,8.6,1,20,Cosmetic,17326811.0
18936,Secondary,Тестовская,18,Moscow,4,131.31,93.8,22.7,2,9,European-style renovation,37674620.0
18937,Secondary,Менделеевская,18,Moscow,4,91.8,58.3,18.5,25,14,European-style renovation,25318980.0
18938,Secondary,Профсоюзная,5,Moscow,2,53.68,40.7,19.2,14,21,Cosmetic,16401395.0
18939,Secondary,Киевская,12,Moscow,2,28.07,9.8,5.9,6,9,Cosmetic,13758171.0
18940,Secondary,Терехово,10,Moscow,0,23.59,14.1,8.0,1,9,European-style renovation,6100567.0
18941,Secondary,Угрешская,12,Moscow,1,96.73,69.0,11.9,10,17,Cosmetic,27339287.0
18942,Secondary,Баррикадная,19,Moscow,2,86.83,41.5,10.0,8,20,Without renovation,48241491.0
18943,New building,Братиславская,12,Moscow,2,49.15,24.2,11.6,10,20,Cosmetic,14310214.0
18944,Secondary,Китай-город,18,Moscow,3,32.38,15.1,11.0,10,14,Cosmetic,23721082.0
18945,Secondary,Молодежная,13,Moscow,0,25.56,16.1,2.9,1,17,Without renovation,7242859.0
18946,Secondary,Фили,11,Moscow,4,82.25,36.3,20.1,3,10,European-style renovation,25522308.0
18947,New building,Красногвардейская,19,Moscow region,1,31.65,13.5,8.2,7,14,Cosmetic,2780290.0
18948,Secondary,Говорово,16,Moscow,4,97.84,75.8,20.7,7,22,European-style renovation,13876628.0
18949,Secondary,Говорово,12,Moscow,1,31.81,11.7,11.7,3,9,Without renovation,11569020.0
18950,New building,Молодежная,16,Moscow,4,54.75,15.7,11.4,15,17,Cosmetic,8987329.0
18951,Secondary,Проспект Вернадского,3,Moscow,3,97.43,55.6,18.1,1,20,Designer,62584294.0
18952,Secondary,Тульская,22,Moscow,0,18.67,11.0,8.5,1,10,European-style renovation,6112659.0
18953,Secondary,Стрешнево,7,Moscow,1,35.61,14.8,8.5,8,22,Without renovation,14773064.0
18954,New building,Беговая,13,Moscow,4,108.48,77.5,15.1,2,11,European-style renovation,41263066.0
18955,Secondary,Арбатская,19,Moscow,1,129.17,83.2,39.2,3,48,European-style renovation,102587371.0
18956,Secondary,Нагорная,7,Moscow,0,18.65,9.1,8.1,1,7,Designer,8586576.0
18957,Secondary,Нижегородская,12,Moscow,0,26.15,23.0,6.6,1,5,European-style renovation,5517423.0
18958,New building,Депо,25,Moscow,2,21.9,10.0,7.8,15,16,Cosmetic,3111907.0
18959,Secondary,Минская,12,Moscow,5,318.24,120.4,25.6,2,6,European-style renovation,361432475.0
18960,Secondary,Преображенская площадь,19,Moscow,1,47.97,28.9,8.5,2,9,Without renovation,14913874.0
18961,Secondary,Спортивная,13,Moscow,5,199.55,77.9,21.4,33,6,European-style renovation,232165562.0
18962,Secondary,Студенческая,18,Moscow,1,91.71,64.9,12.3,9,14,Designer,49499580.0
18963,Secondary,Зорге,12,Moscow,4,61.79,22.1,19.1,20,21,European-style renovation,19832906.0
18964,Secondary,Полянка,18,Moscow,2,75.45,57.2,10.4,2,23,Cosmetic,23725420.0
18965,Secondary,Алексеевская,16,Moscow,2,35.5,25.3,4.5,10,10,Without renovation,18725820.0
18966,Secondary,Фрунзенская,19,Moscow,4,97.23,57.4,16.0,18,16,European-style renovation,43921677.0
18967,New building,Красногвардейская,5,Moscow region,1,34.03,25.2,8.4,10,14,Cosmetic,7370281.0
18968,Secondary,Отрадное,9,Moscow,0,27.43,19.2,8.4,2,10,European-style renovation,10481543.0
18969,New building,Панфиловская,12,Moscow,1,40.93,11.2,14.3,4,20,Cosmetic,15030736.0
18970,New building,Братиславская,12,Moscow,1,77.06,40.5,13.1,21,9,Cosmetic,18018407.0
18971,Secondary,Сокол,19,Moscow,1,21.69,8.9,8.5,2,16,Without renovation,7309546.0
18972,Secondary,Калужская,5,Moscow,1,60.41,17.5,14.8,8,23,Without renovation,31292046.0
18973,Secondary,Варшавская,9,Moscow,1,22.54,13.6,8.3,1,10,European-style renovation,8512029.0
18974,Secondary,Калужская,18,Moscow,2,31.53,13.8,17.9,19,10,Cosmetic,15403416.0
